"","GeneSymbol","Initially.Assigned.Module.Color","KMEturquoise","KMEblack","KMEpink","KMEbrown","KMEblue","KMEgreen","KMEyellow","KMEmagenta","KMEred","KMEgrey"
"TIMP1","TIMP1","blue",-0.200034257694532,0.0470911567652096,0.116077372308623,0.393275908262918,0.441262966334069,0.333896765514165,0.0753358380166449,-0.0662412768886666,0.0811325689270839,0.173359915518984
"FABP5","FABP5","blue",-0.396686544187418,0.0601888965554198,0.191221295692726,0.200939439072641,0.553551365385415,0.353886267677371,0.0744334212299938,-0.00431444707310209,0.0618372371134933,-0.00360850336535464
"LPL","LPL","green",-0.0674977514109,0.0103886660644972,0.129605943667835,0.125889356298582,0.0763152690271688,0.409953863246974,-0.00981639003948751,-0.0143961401264295,0.0643887902154514,0.163260594043413
"MLANA","MLANA","grey",-0.00510071996785667,0.016355725416076,-0.0231371312352408,0.0235361807377051,0.00423609570199339,0.000414729743173241,0.0569239928688408,-0.00482123838635455,0.00926801420880936,0.0422033143185088
"PLTP","PLTP","brown",-0.0343321191271905,0.0546270478317423,-0.00391302927828944,0.103048928715581,0.153786752081375,0.0556933069403038,0.0600505789340749,0.00205147642642885,0.0266663797458289,0.0935521931482956
"IFI27","IFI27","grey",-0.121882694791447,0.0784537730553338,-0.0462435458046669,0.152172205687261,0.179306158736344,-0.011911689638755,0.0683612267257796,-0.0164164905034481,0.0652716406740181,0.0990088578616265
"HLA-DPA1","HLA-DPA1","grey",-0.0278800317530325,0.0327909363518187,-0.00351182296867438,0.0435353852424345,0.0435420375733089,0.0468401039105903,0.0557375498597308,0.162857525947788,0.0167243660047389,0.00978460550797516
"EGFL6","EGFL6","blue",-0.272376692295232,0.0428326893724607,0.08047722840754,0.103088386007225,0.452033993532942,0.204779897411407,0.0661365787865773,0.0116322217232147,-0.00525550283929181,-0.000886261896997998
"AGT","AGT","grey",0.0535657853335771,-0.0160042158141685,0.150004698716684,0.0479440157252013,0.0184810841251337,0.103538067292475,-0.000669812621469108,-0.00868462935668614,0.0244916546966097,0.0885798099219895
"MT1A","MT1A","brown",0.0511596027446791,0.0123404785071542,0.12868456892253,0.00775672548200205,0.0429410492940602,0.0415720420681445,-0.0290541570413117,-0.0134179108019343,-0.000901867026426561,0.0158703437541195
"TNNC1","TNNC1","blue",-0.139126843815936,0.0345631947700956,-0.0628980306424296,0.130103223237022,0.257298804388919,-0.0289694961863092,0.0727565943039767,-0.0198374626394228,0.0108486037529088,0.00891498473623534
"APOBEC3A","APOBEC3A","grey",0.00310548534711631,0.0242771425576417,0.0157358757280733,0.00250168442524465,0.00572845219147109,0.00404147346298273,-0.0187041775054887,-0.00455653185922689,0.00592419691261812,0.0263190111384516
"AC011498.1","AC011498.1","grey",0.0200712853328658,0.0205439074317827,-0.00227193921878265,0.0219161193644762,-0.00525806627365888,0.0250214587466861,0.0131010414839622,0.0298487168076434,0.00671295060012201,0.0440383469603898
"AIF1","AIF1","grey",-0.0142523474937735,0.0045568184328762,0.0221936257695843,0.029415242775286,0.0275849614743406,0.018373603792723,0.00716349725830317,0.0255348584869834,0.00516884526383413,0.0375556041528982
"RARRES1","RARRES1","blue",-0.638538352993212,0.0178529107705388,0.403425021302089,0.400195706663897,0.75093858750073,0.718723721756588,0.0245637689135826,-0.0337055566344558,0.0705881510931645,0.179322380355992
"TIMP3","TIMP3","grey",0.289908332341688,0.00624370852294308,0.202193678550412,0.113450094823901,-0.0519412770997603,0.160809356629948,0.0353551937912322,-0.0307803752700966,0.0207686738385653,0.227718521967928
"SPP1","SPP1","black",0.0689522325406634,0.077147252212018,-0.0049321730273647,0.0345591742227129,-0.0231679343999189,-0.0132363988046286,0.081187360111614,0.0040010601123273,0.0415067108315552,0.0710074068851457
"XCL2","XCL2","red",-0.00175523828205427,0.018527856973788,-0.014928172255769,0.0222910701766328,-0.0262210588416877,-0.0144292291905862,0.0192440791083748,0.265394955734971,0.0293870271856208,0.00232344469673157
"XCL1","XCL1","red",-0.00884195708637461,-0.00925973266704238,-0.0152199973087218,0.0185247163366799,-0.0125801042237727,-0.0146204810124935,0.0285209338702835,0.25650663330628,0.0425466650632926,-0.00894983689937086
"ALKAL2","ALKAL2","green",-0.23082587971419,0.0128625048169633,0.120080863618341,0.0888414257982176,0.282480883484055,0.459832089232597,0.0318560817511095,0.0116293086332809,0.0582996497309768,0.108672452749747
"CD74","CD74","grey",-0.0436343402780349,0.0226995171261608,-0.0167184458778917,0.0498600674758066,0.0571560472819003,0.0593201312546983,0.053039004515314,0.150646783152943,0.0511340924508977,0.0409100631556184
"CXCL3","CXCL3","grey",0.01469031561917,0.00404364253170558,0.0394045189462713,0.0302266346936196,0.0158314914613341,0.013159532321085,0.0187949119515637,0.0105053621696478,0.0289913276796836,0.046692879509952
"SAG","SAG","yellow",-0.0924021625391903,-0.00321122383499991,-0.0977326930700218,-0.0989162564752048,-0.0916303451371126,-0.0869235058546059,0.00461647057973433,0.00207147281259052,-0.0291999822787262,-0.0852374649118208
"PDE6G","PDE6G","yellow",-0.0915185420043678,0.00165806245116905,-0.0986402388628323,-0.0986208195346129,-0.091124246636058,-0.089296732669409,0.00459896123940701,0.000822334565449785,-0.0290049038137256,-0.0855327762521486
"C5AR1","C5AR1","grey",-0.0082178903768222,0.00671513520729738,0.0224174738806706,0.045682979280257,0.0297604750575681,0.0151739797423383,0.0303448920603654,0.0090423734655855,0.0156823500629881,0.0509446951617251
"MEG3","MEG3","blue",-0.303496629292381,0.165563217063154,0.374421595284651,0.41393334429713,0.529731831936031,0.40276762151437,0.181364383537546,-0.022826990635837,0.152007890638023,0.158435155154247
"RGS5","RGS5","turquoise",0.683149321964019,0.00282533899086367,-0.254086107131204,-0.341329008507552,-0.722890480874305,-0.481304374995338,-0.0286139201848099,-0.00593522977183886,-0.0521779113176727,-0.0691560337529786
"FCGBP","FCGBP","grey",-0.0213413850052429,0.00203526715149785,0.0151118405470723,0.0163502238088031,0.0182861661780138,0.0144633787558459,0.0185540521334644,0.0234680371172008,0.00787946500105127,0.0230075325701742
"RCVRN","RCVRN","yellow",-0.094013799112694,-0.000288792578018376,-0.0972786091985433,-0.0958408016601976,-0.0855865809037487,-0.0857348180082387,0.00674865207307808,-0.000562500079948449,-0.0290159632134588,-0.0811868993510493
"IL6","IL6","pink",-0.203258662538033,-0.0507221282212002,0.493071554372697,0.101283514654651,0.282292351569001,0.287790044593587,-0.00434876817023906,-0.0193228254534479,0.0399536529261037,0.0284336002358187
"NRL","NRL","yellow",-0.086429362856744,0.00475079615281968,-0.0900972621619166,-0.090026829511118,-0.0835349629116282,-0.0809443416839404,0.0384612016748979,0.000319192572113305,-0.0301410758074295,-0.07522727513875
"TPSAB1","TPSAB1","grey",-0.0129935637968692,0.00407159563068265,0.0141111285414759,0.00146632137567494,0.0107310513415721,-0.00260490221261824,0.0153725421111877,0.018899723106613,0.00631264914299451,0.0235263566731539
"IGFBP2","IGFBP2","grey",0.0184879740609108,0.0145123475534533,-0.0885719665972778,0.2056733747994,0.113121749031389,0.186835214415675,0.070634112123048,-0.0251334755856117,0.0422503494448951,0.183439075359252
"RETN","RETN","grey",0.00624131450841632,-0.000565798722254336,0.00103501069016247,0.0166410609055276,0.0097545600305535,0.0125079577371015,0.031346717818321,0.00237026070361813,-0.0133236819447516,0.039273922522562
"APOC1","APOC1","grey",-0.00575156860441398,0.0257512337370892,-0.0427545407866771,-0.00527970016413957,-0.0212729735178513,0.0741733842027185,0.000698492906049813,-0.00665566638026885,0.0218719457276998,0.0948594271766423
"CFD","CFD","grey",-0.0900652412367006,0.0497941546427017,0.0453153956163652,0.0856847342702438,0.100565782351134,0.25237133084308,0.024756640729512,0.00125772934476862,0.0472782855010699,0.159686137747768
"DCN","DCN","blue",-0.402776742347126,0.138259708268887,0.184353248608805,0.429262327843227,0.582754380814492,0.287609731906174,0.11650307224524,-0.0271649844554537,0.0732377505029804,0.145038102570474
